Processor,Array Size,Order Type, Algorithm, time, Executed Lines
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,19200,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,31800,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,26900,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,30600,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,25800,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,26000,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,28500,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,27500,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,29400,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,0,34000,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1300,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1300,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1300,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1300,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,0,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,34300,34939
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,29100,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,29900,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,28400,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,30000,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,33000,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,33100,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,652000,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,32900,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,0,27900,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1300,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1300,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1000,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,1,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,0,30800,26479
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,0,29700,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,0,28200,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,0,31300,15143
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,0,25800,15143
